	CV_PerVarImp
SNP458	7.142857e-06
SNP459	1.694066e-21
SNP460	3.000000e-05
SNP461	-3.000000e-05
SNP462	2.142857e-05
SNP463	-1.142857e-05
SNP464	1.571429e-05
SNP465	-2.714286e-05
SNP466	-1.142857e-05
SNP467	-3.428571e-05
SNP468	3.428571e-05
SNP469	-3.285714e-05
SNP470	9.857143e-05
SNP471	-7.142857e-06
SNP472	5.857143e-05
SNP473	5.000000e-05
SNP474	-5.714286e-06
SNP475	9.142857e-05
SNP476	4.714286e-05
SNP477	-6.428571e-05
SNP478	6.285714e-05
SNP479	1.428571e-05
SNP480	2.142857e-05
SNP481	2.857143e-06
SNP482	6.714286e-05
SNP483	-4.142857e-05
SNP484	-9.714286e-05
SNP485	-2.857143e-06
SNP486	2.428571e-05
SNP487	2.857143e-05
SNP488	2.571429e-05
SNP489	-4.428571e-05
SNP490	1.714286e-05
SNP491	1.142857e-05
SNP492	2.142857e-05
SNP493	-1.142857e-05
SNP494	-1.000000e-05
SNP495	2.571429e-05
SNP496	-4.142857e-05
SNP497	-2.857143e-05
SNP498	4.285714e-06
SNP499	-4.714286e-05
SNP500	7.285714e-05
